date, pm25, pm10, no2, co
2016/9/19, 34, 16, 43, 
2016/9/20, 21, 17, 50, 
2016/9/21, 25, 19, 45, 
2016/9/22, 46, 28, 48, 
2016/9/23, 61, 38, 48, 
2016/9/24, 76, 26, 62, 
2016/9/25, 63, 30, 54, 
2016/9/26, 68, 41, 48, 
2016/9/27, 85, 41, 55, 
2016/9/28, 85, 48, 66, 
2016/9/29, 91, 51, 42, 
2016/9/30, 112, 30, 44, 
2016/10/1, 63, 21, 37, 
2016/4/2, 89, 48, 33, 
2016/4/3, 106, 43, 33, 
2016/4/4, 95, 42, 29, 
2016/4/5, 101, 50, 35, 
2016/4/6, 121, 59, 42, 
2016/4/7, 136, 61, 34, 
2016/4/8, 151, 44, 43, 
2016/4/9, 97, 26, 29, 
2016/4/10, 69, 17, 24, 
2016/4/11, 55, 18, 30, 
2016/4/12, 56, 18, 30, 
2016/4/13, 42, 27, 33, 
2016/4/14, 64, 15, 36, 
2016/4/15, 57, 24, 30, 
2016/4/16, 64, 21, 29, 
2016/4/17, 55, 27, 22, 
2016/4/18, 60, 20, 32, 
2016/4/19, 55, 17, 32, 
2016/4/20, 53, 23, 36, 
2016/4/21, 62, 24, 39, 
2016/4/22, 69, 27, 42, 
2016/4/23, 71, 16, 21, 
2016/4/24, 43, 10, 18, 
2016/4/25, 38, 6, 18, 
2016/4/26, 21, 21, 33, 
2016/4/27, 63, 19, 36, 
2016/4/28, 46, 18, 32, 
2016/4/29, 46, 22, 30, 
2016/4/30, 56, 20, 37, 
2016/5/1, 55, 8, 18, 
2016/5/2, 26, 16, 30, 
2016/5/3, 57, 16, 38, 
2016/5/4, 53, 10, 45, 
2016/5/5, 38, 16, 39, 
2016/5/6, 56, 29, 55, 
2016/5/7, 77, 30, 46, 
2016/5/8, 55, 20, 34, 
2016/5/9, 106, 22, 34, 
2016/5/10, 140, 23, 35, 
2016/5/11, 142, 25, 34, 
2016/5/12, 55, 18, 35, 
2016/5/13, 55, 18, 31, 
2016/5/18, 112, 22, 37, 
2016/5/19, 121, 13, 42, 
2016/5/20, 81, 13, 48, 
2016/5/21, 80, , 36, 
2016/5/23, 53, 23, 33, 
2016/5/24, 69, 16, 33, 
2016/5/25, 39, 16, 23, 
2016/5/26, 49, 14, 30, 
2016/5/27, 60, 36, 47, 
2016/5/28, 73, 35, 39, 
2016/5/29, 72, 20, 21, 
2016/5/30, 57, 16, 35, 
2016/5/31, 42, 16, 36, 
2016/6/1, 49, 19, 33, 
2016/6/2, 42, 11, 21, 
2016/6/3, 30, 21, 21, 
2016/6/4, 74, 10, 28, 
2016/6/5, 53, 15, 28, 
2016/6/6, 62, 14, 32, 
2016/6/7, 39, 18, 34, 
2016/6/8, 52, 15, 36, 
2016/6/9, 42, 23, 27, 
2016/6/10, 66, 21, 30, 
2016/6/11, 59, 20, 26, 
2016/6/12, 62, 10, 21, 
2016/6/13, 26, 13, 30, 
2016/6/14, 45, 14, 26, 
2016/6/15, 25, 12, 29, 
2016/6/16, 13, 12, 37, 
2016/6/17, 33, 13, 24, 
2016/6/18, 17, 13, 25, 
2016/6/19, 29, 13, 28, 
2016/6/20, 33, 9, 31, 
2016/6/21, 25, 11, 29, 
2016/6/22, 37, 19, 40, 
2016/6/23, 49, 31, 46, 
2016/6/24, 69, 41, 42, 
2016/6/25, 86, 25, 29, 
2016/6/26, 62, 17, 17, 
2016/6/27, 42, 10, 29, 
2016/6/28, 18, 12, 31, 
2016/6/29, 33, 19, 34, 
2016/6/30, 41, 25, 33, 
2016/7/1, 56, 24, 31, 
2016/1/5, 97, 36, 31, 
2016/1/6, 99, 35, 34, 
2016/1/7, 93, 44, 50, 
2016/1/8, 104, 51, 41, 
2016/1/9, 127, 44, 33, 
2016/1/10, 119, 43, 35, 
2016/1/11, 112, 35, 28, 
2016/1/12, 87, 36, 54, 
2016/1/13, 80, 27, 53, 
2016/1/14, 65, 32, 40, 
2016/1/15, 78, 30, 44, 
2016/1/16, 78, 25, 52, 
2016/1/17, 68, 10, 32, 
2016/1/18, 25, 22, 52, 
2016/1/19, 68, 42, 46, 
2016/1/20, 102, 54, 50, 
2016/1/21, 137, 65, 54, 
2016/1/22, 157, 70, 63, 
2016/1/23, 160, 73, 71, 
2016/1/24, 162, 84, 57, 
2016/1/25, 172, 80, 72, 
2016/1/26, 166, 57, 57, 
2016/1/27, 129, 68, 55, 
2016/1/28, 159, 72, 54, 
2016/1/29, 161, 65, 55, 
2016/1/30, 154, 84, 44, 
2016/1/31, 175, 70, 65, 
2016/2/1, 158, 53, 57, 
2016/2/2, 114, 64, 29, 
2016/2/3, 134, 31, , 
2016/2/4, 80, 19, , 
2016/2/5, 57, 37, 44, 
